tf,EC,FC,HomC,HTC,preHTC,ProC,RegC
BARX1,0.0812564619469412,0.118060065071166,-0.00166257569346656,-0.013954313783461,0.130802830971458,0.0893953266499005,0.0385848353402764
BARX2,0.0435137021770471,-0.0242673334101182,-0.125168198636697,-0.189233741717247,0.0411917715624552,-0.0586619201442934,-0.214788171342909
BATF,0.116426407295992,-0.128197052445013,0.220575844226732,-0.0311932351910333,0.0338915997712564,0.12405974856124,0.0500143769011566
BATF2,-0.130287984646507,-0.156150563081984,-0.0173681649487293,-0.114142372917445,-0.0301715402832426,0.00380810700673172,-0.267262317521047
BATF3,0.21927629506482,0.0745426950319243,0.127970527478515,0.196603787055308,0.168044873624107,0.224275267716441,0.116408581033117
BBX,0.216322220733632,-0.135467013086862,0.204410171131768,0.127172420394213,0.0410796187662508,0.247821172917746,0.0883280785824931
BCL11A,0.151034319550735,-0.039626405188674,0.0759870287070535,0.063244502621179,0.185977130495481,0.0683197629335119,-0.158680275096505
BCL11B,-0.00604614345929431,-0.151542841548418,-0.0871126924671064,-0.275572859448011,-0.134871051748559,-0.033992532441387,-0.208834411615672
BCL6,-0.130932223212694,0.124715662841873,-0.202477221493542,-0.118580055445346,-0.129770050004672,-0.186494428547397,-0.0285417091900581
BCL6B,0.1423256650526,-0.0600027737482248,0.109438708922229,0.230611970118517,0.113092441588228,0.178983816022335,0.0381795324480466
BHLHA15,0.0589460545873482,0.0810958989907748,0.022832407434534,0.0606252463123093,0.225340811479804,0.0574191959620396,0.00076029232197589
BHLHE22,-0.0875975200007938,0.161884616545978,-0.0269701744344463,0.0847886384214911,-0.116948547294246,-0.147300876133521,-0.037844109364822
BHLHE23,0.0828591729454434,-0.115295432151026,0.0761842074954969,0.163552987332582,0.0692367973054922,-0.00233907296808494,-0.0707351378673598
BHLHE40,-0.156131058807226,-0.0752594517149236,-0.129171525553579,-0.0756904860474633,-0.169642807159593,-0.14530236796553,-0.089672566107752
BHLHE41,-0.0898166734706756,-0.0254960591524027,0.024365024381072,-0.146849959744526,-0.160307793548564,-0.179767467067512,-0.0156195349088282
BNC1,0.112604345692184,0.202330172229509,-0.187566322506854,-0.184175867465636,-0.00973925129821743,0.0377204116506806,-0.084912353518322
BNC2,0.222640213942857,0.0804815361196325,0.112220124862242,0.141749936540818,0.153312872411383,0.310046263283174,0.0517501913568442
BPTF,-0.0959227460989176,-0.0204787623714078,-0.11275489763696,-0.0786589765308489,-0.0318533446054551,-0.0447993780919033,-0.0417154507837066
BRF2,0.0273399234364425,-0.0805839299314896,0.141175531189426,0.111685691138091,0.0902542313141923,-0.0544394739643211,-0.00491953855396164
BSX,0.119841187113465,0.147754270509707,0.115945608940863,0.01138924898443,-0.00279260462548897,0.0567151860393654,0.00481332124427383
CASZ1,0.199826322709934,-0.11652415789331,0.0466372648029825,0.163143540369356,0.0198056961888398,0.113215355714847,0.00477977893595137
CBX2,0.147906963181702,-0.0591836232533685,0.212348111145318,-0.00998026972862419,0.26066211559224,0.197339701406193,-0.0717078648087114
CDC5L,0.172952230280805,-0.0784336598824918,0.190984088173208,0.173939693384996,-0.0183291802457665,-0.0134320693184216,0.172030113808846
CDX1,0.137018385163095,-0.178574807878676,0.113695978218167,0.0950067486655184,0.0537050978937452,0.0403032480544915,0.169517235877021
CDX2,0.13593177470507,-0.158300833130982,0.0698207102320939,-0.0703496116889175,0.0300340312026789,0.0707876110499527,0.0793974389916366
CEBPA,0.0741536726140956,-0.152259598231417,0.0321416362949865,0.079327338485526,0.121319093000245,0.0565160098987421,-0.0305235005734438
CEBPB,0.00249869150135492,0.0828365937923445,0.106391400373557,-0.0609805017656962,-0.000546135355430007,0.14834134413174,-0.0109879011679677
